pdbid,value
6phz,3.46
4psq,6.36
1aqi,5.62
5ap7,6.29
1yvh,7.37
4knr,5.74
4uu5,5.04
4x8n,6.62
4i9i,8.1
3tku,5.72
6ul8,7.52
6b33,8.12
3iqg,4.6
4jyv,7.77
5dl1,5.0
5hn8,4.01
4bo8,6.92
3bym,8.22
6f26,7.62
5td2,8.66
6dzq,7.37
2f6j,5.57
3b8z,6.54
1swk,12.0
5ho7,4.77
2xpc,3.9
6chm,3.7
4x6i,8.0
6qho,6.2
3vzg,1.72
5z9e,3.48
3q4b,9.33
1ryh,7.56
1n8u,6.03
6m87,8.1
5vc6,7.87
2p3o,2.77
6axj,5.0
5zmq,4.74
5tzy,8.7
4abk,5.72
2mwy,6.82
3w2r,7.72
4lh2,1.24
6pdj,7.38
3r4o,8.15
2jdt,6.77
6nzf,9.04
5acx,5.05
4m48,6.81
5wqd,4.77
3shb,6.03
1o3k,6.77
2q11,6.05
6e6w,9.96
2x2c,7.72
6f2n,6.7
6apz,6.82
5v13,7.63
4p10,8.1
2iok,9.0
4o7c,5.0
3pb3,6.22
4kcg,8.3
6n94,4.7
6ocq,6.7
3gxt,4.74
4er4,6.8
1o4j,2.36
1gmy,7.35
1r5w,5.54
1jj9,5.77
1yt9,8.3
1cze,2.62
3wch,7.05
5uc1,7.85
3ej5,3.57
6axb,6.3
4wwp,6.92
3oki,7.15
1t46,6.43
5al1,4.28
5fwa,4.79
4wy7,6.78
1nyx,7.04
4ivt,6.0
2p9a,5.18
3tfk,5.01
6qaf,7.42
5uox,8.3
4o75,4.68
6cd5,6.81
6afe,5.36
1riw,7.55
1rzx,4.1
4btm,5.39
2h2j,5.38
5vzu,5.57
4mgv,7.12
5pzm,5.96
5e0m,5.28
3ivh,7.33
3d7f,9.3
5al3,4.96
6k4x,6.66
1fpp,8.0
5yjp,6.62
5tl9,9.0
3d9o,3.0
5trf,9.06
2r4b,7.18
3jzq,6.96
4d1b,4.44
6ajj,6.8
1db5,6.82
6v5l,3.65
3n7h,4.5
2b4m,3.53
6am8,4.89
1m6p,5.1
2alv,4.15
5y5t,6.68
2k0g,6.97
5q0s,7.21
1utp,1.44
5nkk,5.0
3hpt,8.19
4de3,5.52
5znl,8.77
5y6g,7.0
1kqb,4.0
3vs3,9.37
4c4n,6.1
1t7f,5.74
4dhq,4.49
4xh6,5.57
1jqd,5.16
1uvs,5.4
4p0b,6.54
2m3m,5.02
5vwk,5.48
5huy,5.03
2w6t,8.57
5v2p,8.29
4qw4,6.95
5ncq,6.96
2b7a,9.0
4wy6,5.97
1o6r,7.1
5w0i,8.85
2kvm,3.96
1d6s,4.11
2xtk,3.79
5ih5,6.3
3cqw,7.38
5oae,4.6
1ct8,6.52
5gjd,7.92
5etx,6.81
6nad,9.3
3rbq,6.27
4dh6,7.77
4e9d,7.7
2o2u,6.4
3dbd,7.38
5ot3,5.23
4lmn,10.3
2a4r,7.82
6i0b,8.04
6eab,6.37
4nyt,2.39
1cea,4.96
2bvx,8.7
5u7i,7.18
3qo2,6.85
5yr5,6.74
5kw2,9.09
4l4l,8.3
4ie7,5.05
4ptc,8.96
5mgm,3.3
1kf0,2.55
6h4a,7.38
5ixf,5.52
4imq,5.82
1pyg,5.52
3qw6,3.52
2rt5,6.72
4jsc,7.13
1d4t,6.19
4xbd,6.4
4gvm,6.11
6hhg,7.76
1d7x,8.52
5wb6,10.7
2qtr,5.49
4oty,7.4
3f7b,7.19
6m8d,5.14
2h2g,5.04
5w86,8.7
5uzk,6.74
4yve,7.0
3ptg,7.6
5j4v,5.85
5wgd,7.11
4ec4,7.6
5ey8,6.31
4erk,4.57
1tve,5.68
6coj,6.4
2gpp,5.7
1d6n,4.5
2mnz,5.19
5a3u,8.32
6qhb,6.3
1q6n,7.64
2isc,8.42
4prd,4.6
5ulg,6.72
2jup,3.81
5gjg,6.21
5h22,7.44
6bsk,6.92
6oip,6.92
2p33,7.24
6u26,6.97
4iku,5.75
6nzm,9.0
2wl4,4.19
4eeh,4.35
3nf7,3.47
5jmp,7.17
5qin,10.4
1fv9,5.0
4m5k,5.23
6ds0,8.66
5kpk,8.3
2bq6,10.15
6f7t,9.44
4pli,3.16
5fnq,3.0
6df1,6.56
5j9z,7.8
3qxh,5.24
8gpb,3.6
5agu,10.0
2iqg,8.3
2y2n,4.57
4mf0,8.08
2k3w,5.24
1h3a,6.55
5hkh,5.09
6g5j,6.7
4a7c,8.22
4yv8,7.96
1inc,9.34
3nm6,1.35
3t2c,4.6
5u2c,6.63
6f1w,7.96
4j0a,6.8
3mbl,7.74
6poh,2.71
3r2y,8.07
3bim,5.88
4ctk,2.0
2y7p,5.47
3met,6.0
3e7b,9.8
4m1d,7.64
2wo8,6.28
5orz,3.36
5ehi,3.34
4giu,5.33
6co4,7.57
5l26,5.35
3lxo,4.82
6f6n,3.02
3wt5,9.54
5ece,8.05
4xxs,7.28
5bnm,4.82
6mlf,4.28
4qtb,6.7
2pe1,8.3
3fi3,7.92
1ke6,8.24
2k2r,2.89
5kit,7.89
5lu2,5.2
6n5h,6.45
4qt2,6.32
5u7o,7.14
3l5f,6.22
5ohi,8.47
3n49,5.15
3odl,7.21
1e8h,5.68
4eb9,8.27
4j8b,4.79
5k5s,2.69
3run,5.44
5e7r,7.6
3dcv,8.52
3zcw,6.19
1ok7,5.92
6fod,8.15
5t4u,5.32
1n7j,6.43
4n9d,7.72
4k3l,2.96
6k0j,7.89
3q8d,7.22
4gtt,8.22
4oyp,3.0
4j3m,7.68
6ggd,5.59
2nyr,4.66
6c9n,4.78
2zdt,8.02
4uvc,6.88
5jq8,5.7
6fdt,4.3
5n16,5.3
5ne1,8.28
2w1c,8.0
6cz3,7.25
3g8o,7.8
1ida,8.7
3skg,8.1
4j8g,4.19
3c14,3.52
3ti4,6.02
6mx3,5.14
4qc1,4.99
6cfd,7.86
2f4b,7.3
3pr0,9.54
1w2g,4.57
5gub,6.2
3rse,7.0
6qyl,6.08
5zjy,8.18
6bsl,9.0
4o36,6.36
4yh4,4.59
6qs5,6.24
4awq,6.32
3umx,6.62
5j47,5.31
6g6w,9.7
3kqd,9.4
5u62,5.89
4z8m,7.44
1rt1,8.1
4mx1,3.68
5yjf,5.74
2osm,6.2
1bqo,7.74
6afa,5.49
1c29,6.33
5lla,7.72
5ijj,6.55
1r6n,7.4
6bbv,6.1
4n5t,8.15
2xwy,5.22
6fyl,8.15
4k67,3.43
5dv2,2.9
4ciy,4.57
1jbd,6.92
1oky,8.19
4eym,4.01
3tic,8.87
4hyu,8.21
3idp,8.8
3t19,8.66
1toj,3.39
2mps,5.41
3qio,6.84
5eob,9.62
3pa4,8.52
3fmq,7.95
3o6t,5.22
3ejs,6.6
6qfv,7.31
4mho,5.08
3wi6,5.33
4o7a,4.72
4ob2,6.3
6q9t,7.52
5w0e,9.03
5ul6,8.22
3fr5,6.35
3uh2,6.0
5svl,8.55
3avn,3.3
6s8a,8.07
1p0y,1.0
2x85,3.89
1wv7,7.26
6boe,5.54
5zdp,7.18
3fmr,7.97
5uga,6.79
4lp9,6.21
3k5k,7.64
1c85,4.64
4m5l,4.72
4yl0,8.22
6qgj,9.0
5jal,2.47
6g4z,9.77
5nu1,9.0
4c1c,4.97
5zxi,9.15
4b05,7.58
6c3u,5.4
6gu6,5.74
4j2c,5.25
3rsv,9.15
4gtr,8.3
2wzx,6.0
3w2q,7.18
4oya,6.44
4eh7,3.28
6b95,5.15
6bix,6.51
6mum,8.41
3ckt,6.32
1i72,7.26
2br8,7.49
6c0r,7.51
4qmt,8.0
1zkn,4.51
2v0z,9.22
1o4i,2.64
6rnu,4.0
2ga2,5.52
3qn7,6.8
2mov,7.4
3my1,5.45
3rxl,2.62
6gqm,4.48
2w6p,6.48
5wbp,4.36
4ez3,4.35
5alw,5.15
4uiw,7.3
1uys,3.6
6eu6,4.39
6cv8,3.17
2cmf,7.55
5q1h,5.1
5y7z,7.81
4c16,4.96
2r05,5.15
2ykb,5.96
6s1s,5.84
3kqa,4.85
2n06,4.92
6ffe,6.1
2bve,3.67
5jah,3.0
5vqx,6.32
6me4,9.92
5nvf,7.8
5prc,4.89
2o3p,5.96
4jv9,5.74
5a8x,8.19
2ank,7.33
4e0w,7.48
5vio,8.62
6md4,6.16
4ca4,7.18
6mtu,5.22
3p7c,7.66
1tl3,6.2
5zk8,8.89
6ps1,9.7
5u4g,6.1
5jzy,9.82
2qju,4.1
5v37,9.47
5clm,7.36
4r1v,9.0
1my8,7.46
4v05,9.7
5aac,8.89
6hcv,8.3
2hfp,8.52
1cim,8.82
6do3,8.03
4ele,7.88
4ge2,6.05
1h01,4.66
1l0a,4.62
4rwk,7.19
5qar,3.77
6dkb,9.15
4wzv,9.37
1tkx,7.54
6bin,6.34
2zit,4.46
4oym,4.96
5c83,6.8
5dtt,3.51
4ba3,5.54
1h0r,3.7
4pdk,8.22
2nnv,7.52
3bmo,5.27
5f1j,4.92
4rx7,8.3
4u44,8.1
3cic,8.52
4a22,8.49
4lkd,5.35
4q0l,7.7
3r91,7.04
3qs6,4.89
3tz4,5.49
2vts,7.52
5dde,7.19
4nwd,5.4
6om2,7.75
3tu1,6.6
1mwn,6.7
5n2f,7.1
4zy0,8.04
6hb6,7.36
4mh7,5.23
1yhm,3.83
4wgi,5.35
4tkn,5.89
5dht,6.0
4hww,6.65
4xdo,4.08
1q1y,7.7
6bkw,8.3
5etp,6.15
5w6e,8.04
3np7,4.02
6qfu,7.46
4bie,6.6
3db8,7.0
1w8l,0.49
6jax,4.42
2c9d,6.32
1ga8,1.8
2bkz,8.15
4u3f,8.39
4v1f,7.7
4c1f,4.63
6oko,6.74
3d67,4.96
2hpa,4.6
2ydk,8.15
4klv,3.78
5v8v,8.89
3p4r,2.72
4ju4,6.47
1me3,7.19
3lhs,9.0
5wap,6.52
6ba7,8.15
5a82,5.6
2xah,3.55
5yr6,5.34
6bgy,6.82
3f8s,7.89
4jin,5.64
3vhe,8.21
4nrp,4.59
1kat,6.0
4n8r,5.0
1zpb,6.07
6d07,5.28
4wkt,3.26
3t07,7.8
2wyn,5.55
5opb,7.62
3rhk,6.26
6apt,6.05
5duc,6.35
4zsa,7.82
4i2z,4.87
3cwe,6.92
3g5v,7.8
3zmt,4.55
5he4,7.7
2qv7,3.66
5div,6.85
3veu,7.26
5n3w,6.3
3s3k,4.01
3szb,4.92
3rdv,4.91
6un1,7.89
1bdl,5.85
6mul,8.2
6ahi,3.6
5gow,4.45
5h7h,3.77
6qw8,6.4
4x69,7.66
5jf3,7.42
2c57,3.43
5ayy,5.32
1tze,6.83
2pri,2.91
5mxr,5.21
6c8c,6.38
2f10,3.48
6i77,4.96
3qs4,4.68
2oyk,5.3
1g4j,8.7
5zla,4.3
6mo1,6.54
5mwz,5.15
4o10,7.11
3cx9,4.89
2esm,6.28
5n4t,5.97
4yog,5.74
1hte,5.64
5ekh,5.95
6aji,4.53
3v2x,5.35
1pzo,3.32
5g3w,7.38
5j31,6.51
6c4d,9.04
5km5,6.92
5bqh,8.52
5gu4,5.47
5ea7,7.96
3l7b,2.4
1szm,5.53
3zeb,6.13
5nzm,3.9
2wmu,4.38
4cd1,4.89
6euz,4.18
5kbq,7.0
5tex,6.4
5yf1,3.28
2o4p,10.72
4occ,8.7
3d9k,4.72
5ivt,9.1
5dy5,6.79
2cmo,6.4
4jg7,6.92
2q7o,7.92
1s63,9.05
6ib2,8.0
2l8j,5.52
3fc1,8.0
4ixh,8.21
4dk8,5.74
2yb9,9.22
5aqt,3.51
4zij,3.25
3lok,6.92
2vcq,6.04
5sxn,4.96
4e6c,4.82
5jsm,6.59
5fni,3.48
5lgp,7.04
6cyg,4.17
3ms4,3.28
3gsg,2.7
1ej4,7.3
1dzj,5.89
5jgb,7.89
3mtw,7.04
6hub,8.1
3ns9,8.52
3eou,7.01
2hwi,5.52
7lpr,7.18
3zkf,6.02
2zxa,8.35
3m59,5.24
2ltz,5.35
3t6j,6.36
4uv9,6.01
6sfc,5.28
5alf,6.69
4rn1,5.0
5k6s,6.26
2evc,6.54
5ywg,8.34
2gfs,6.15
3ump,2.99
6few,5.85
3sym,4.57
1ody,8.1
3kyr,6.72
4bda,5.57
3eyu,7.62
2c6l,6.57
6ehh,7.49
6e6v,7.77
6jse,8.77
3znc,7.34
2z4w,6.01
1xge,4.68
4prp,5.66
4dei,9.0
1q3w,8.4
4ptg,8.23
5qqo,7.77
6b1x,7.4
1nyy,4.68
4x8s,1.89
2wf4,7.89
1clu,8.27
2m3z,6.57
6evm,2.82
3f6h,4.72
3hau,6.38
2lzg,7.77
5nb6,6.3
5j6s,4.0
3agm,9.09
1dwd,8.18
3skk,4.47
4tnw,3.78
3qts,5.51
5ukj,7.16
1y2k,7.68
6k9u,10.05
1ow6,5.4
6dh4,11.3
5izl,5.73
5yvx,5.89
1x7a,7.89
5ou1,6.07
2fx7,7.7
6nfz,7.8
4q6r,6.68
5ylu,8.62
3r0w,4.52
5j87,8.05
6gz9,2.13
4wf4,3.11
5n9t,6.66
1kv2,10.0
5tpb,2.59
1uyc,4.39
4y7r,5.03
5dd0,7.08
6pt3,9.41
3aox,9.08
3k8d,5.77
6ic6,7.82
2e7l,7.54
4jfl,4.98
5tdb,5.84
5o1s,3.65
3are,6.21
4wsk,6.43
5swh,7.59
4o0j,4.89
4ybm,6.85
3i02,7.52
3a1t,4.83
3v4x,6.15
2uyw,13.0
1o4g,2.3
1caq,7.72
5urm,5.28
2yoj,8.3
2ftd,10.39
6c0u,5.99
2w1f,8.23
2zlf,4.51
3ndm,7.96
4npv,7.46
3sdk,6.8
3uza,8.94
5trh,5.08
2zv9,8.05
3iu7,4.8
3wpn,4.36
3w32,7.12
2ewy,6.15
3sxu,5.05
3cgo,5.52
1nox,7.05
6fkq,8.0
2w3i,10.0
2gde,8.24
2nxl,6.27
4qmp,7.85
4o37,6.16
4xwk,4.63
5yu9,6.74
5kx7,7.44
4f3i,7.44
4ksq,7.31
5l0c,6.15
3uat,6.66
4jfv,6.28
5apj,7.4
3ovz,8.06
1pxl,6.05
4tq3,5.49
5u4a,6.36
4la7,6.57
3wkc,3.71
4udb,9.15
2bge,2.8
3hec,4.47
5lpk,5.51
4jib,7.35
4wt6,7.92
4idz,4.36
6bik,8.19
2c6e,9.1
5ldo,3.75
1o9e,4.18
1ke5,6.25
3uvn,6.59
3jyj,5.74
3cho,6.55
4nga,7.77
5a7j,5.2
3mxc,6.54
3vb7,4.31
5gg4,5.82
1ets,8.22
3k41,0.82
6tim,3.21
6evq,2.0
2vx9,7.44
5hfu,6.89
1xh8,5.77
1wvc,4.46
5kqg,5.15
4mex,6.7
6a94,7.4
2vc7,3.36
3k0h,4.6
5bvw,8.82
4tz8,3.3
3o87,7.6
6sdc,8.9
6cf5,1.7
5l3e,6.18
6hov,3.3
6fil,5.85
5tci,6.88
2ksa,3.06
5alx,5.48
3zbf,7.52
5hkm,7.89
2jaj,4.6
6baw,5.38
5q0f,9.89
3rxp,2.08
6fjm,6.24
5hdx,7.32
4jmu,5.47
5bsk,6.22
4zk5,8.43
5c4o,8.21
2w0z,4.03
6i0r,4.35
5a2k,6.35
4qvn,5.1
2vtp,8.52
2zhd,6.54
4nrk,7.62
5fus,4.68
6das,8.31
6uyz,5.36
3vw7,8.1
1rdn,1.84
4rvl,7.38
6qrd,7.0
4yw2,2.8
3rv7,4.85
3ztx,7.74
5drs,8.96
2xwe,6.02
5luu,5.06
2hs2,8.31
6pyu,8.0
2vgo,6.3
5m0m,8.22
3k54,9.0
1pbk,9.05
3oxc,8.41
5qby,7.4
2q95,5.8
1mdl,3.09
6qzr,7.52
3vf9,8.72
3q3t,7.43
4qta,6.7
3q77,8.22
3omg,4.72
3gk4,3.92
3bsc,4.48
1fvv,8.0
3tjh,5.41
2lkk,6.7
2w8f,6.3
4zz3,6.0
5jlz,5.82
3hiv,8.12
4pd7,3.92
3l6f,6.99
2bqw,8.52
2qn2,4.55
6hkz,9.89
1unh,7.0
3frg,8.4
3cst,7.41
6rfj,8.4
5wa1,4.17
2cct,5.02
3ro0,4.5
1fdq,7.27
3zm4,5.96
5o1g,3.94
3wsy,6.36
1h2u,7.89
6uhu,3.4
3ivv,5.43
4xhv,4.3
3h26,4.49
4mcd,5.33
6qz8,7.62
4i1c,8.1
2vin,3.0
4jk6,7.19
4hkp,4.55
4p6e,5.89
1zd2,3.3
5dg6,5.07
1uyd,3.7
2zdz,6.15
4ogn,10.0
6cec,4.35
5tq3,8.66
1o2t,7.85
4rn0,6.59
1hty,1.4
4qmv,7.64
5fqv,6.21
6pno,5.32
6g22,7.56
5hda,5.13
2ym4,5.82
6iyv,5.88
2xkf,6.06
3bet,5.82
3zmg,7.64
2zoq,6.05
6gg8,9.1
5lkr,5.48
4px6,8.4
2w10,6.77
5bvn,8.82
3wv2,7.92
5j8i,8.29
4ctj,2.51
4k3r,3.59
5vdu,3.7
3qlc,5.43
3rtp,8.15
3bi1,9.92
2fx8,6.52
4qxs,5.96
5od5,7.74
4wyp,3.36
3qkl,8.05
1hyv,2.3
3atw,7.01
6nrh,7.26
3k84,8.52
5ylt,6.39
1kmv,6.95
3s0n,6.74
6b8y,9.66
4b9w,4.17
3zt4,2.8
2oei,3.91
5id1,6.25
6nvj,8.28
3s00,4.92
6h7z,10.12
1j1a,7.54
3vw0,4.67
5oh1,4.41
2f4j,5.66
6pvu,5.21
4g8r,7.66
1cr6,8.51
5hg8,8.52
3ig7,7.2
5eci,3.8
4umn,7.2
6c5f,4.48
2bxu,7.15
3d7m,6.44
1vjc,3.58
5x4m,2.92
2y2i,4.59
5vgo,8.7
2hyy,6.77
1xnz,6.62
5ccl,4.77
2vtm,3.0
5v4b,6.0
3c1x,7.35
5mz3,6.66
5kos,8.82
2m0v,5.97
6awo,8.7
4alw,7.57
4ucd,4.0
4u45,8.0
3q96,8.54
5fwr,7.75
3upx,8.12
4urk,5.96
6hp9,8.25
4z7i,8.11
4odq,4.47
5enf,3.57
3eid,6.35
3i90,3.3
6ayd,6.3
4u7q,9.74
5thn,4.02
5vqe,1.49
1fvt,7.22
3zvw,3.9
3lzb,7.2
3tvl,4.0
4tpt,7.04
6b3e,6.99
3odk,3.14
2a4q,7.18
1ofz,4.62
5ekx,2.03
3nan,8.22
4j3u,6.34
5hn9,4.3
5ypy,4.64
5fdr,9.44
6nti,4.57
3k3e,7.66
5u98,9.7
2kfh,2.62
4wup,9.82
6qri,4.82
1wdr,2.52
6htd,8.0
4f6x,5.09
4hxl,5.66
6fgf,3.96
4i31,9.32
5okt,6.03
4bhz,4.27
6f6u,4.8
5ml3,9.69
5f5b,3.95
1c7f,9.52
2y1x,7.57
1xhm,6.33
3ogm,7.32
4kii,6.23
5y80,8.79
1upk,6.4
4ui7,7.36
2jbu,3.4
4fkk,9.3
3h6z,5.82
6oos,11.3
1ax1,3.29
4ael,7.92
1gww,3.59
4mg7,6.36
5jer,3.7
4yt7,8.77
4ufe,8.15
5u00,8.7
2p4i,8.0
5t92,7.8
6ps5,8.43
6bic,5.62
3l38,7.0
1dqx,11.05
3ft5,4.82
2ph8,5.74
4d2s,7.7
1di8,6.0
4jmg,8.82
4xv9,6.72
4loj,6.52
4yax,5.82
5ea3,8.77
4ttv,6.68
1o0d,8.21
4mxa,8.92
3e3u,7.89
2w1e,7.92
2wu6,7.53
3ihz,6.8
5a3n,7.72
1wkm,0.82
4cpu,7.53
2v5a,6.82
5dh3,7.42
1axz,3.2
4um1,5.77
4c3k,4.97
4wz5,5.51
6c7f,9.62
4dbn,8.15
2f3r,6.3
5csw,8.4
6hot,4.4
4dvf,6.89
4g3e,8.38
5awt,4.52
5tol,7.48
3kr2,5.14
5h0g,6.95
3bf1,2.52
4l5j,3.0
2imb,4.22
5vqt,5.74
5q1b,7.31
4o72,6.0
3kqb,9.3
3shv,6.66
2gnh,6.83
6eo8,7.0
3pp7,3.94
6i3u,9.22
6d4r,5.96
1z3v,4.11
6ps6,9.7
4nw5,7.7
3umo,3.89
3dow,4.94
1b2m,3.73
3eos,8.4
5dsx,8.0
5vlp,6.08
5hka,6.46
4acu,7.39
2mwp,6.05
4nat,6.48
6cq5,4.24
3ml4,5.33
4zw3,7.57
6rvf,6.14
1h60,4.7
5t4v,7.22
4dij,7.52
2pvw,9.52
5es1,8.34
1ylv,2.7
4lkm,6.34
5y62,1.74
4y2x,6.29
4ran,7.15
6bln,8.8
1q41,7.66
2cne,8.77
3zh8,6.47
4wnk,6.42
6hvj,7.55
3uwk,4.24
6bec,4.01
4ifi,5.48
2waj,6.4
4jda,6.29
4mg8,6.48
3kjn,5.19
5c91,3.61
3mg0,9.25
6fsd,4.24
2qm7,5.89
3eyf,7.03
4otg,7.59
6a06,8.47
2h2h,4.98
4jr0,8.2
1rw8,6.76
2xhx,6.6
6mxe,4.26
5vrl,7.11
2b1z,7.1
3ufa,5.0
4lge,8.46
3zpr,6.65
1jif,6.2
3msc,3.31
2wei,8.47
2pr9,7.37
1ykp,2.96
1yon,4.21
3fci,5.89
5alo,6.13
6eea,6.2
4eos,6.05
1ch8,7.0
1bl7,7.72
5khx,7.85
4yoz,6.8
5njx,4.15
3o2m,4.8
5etr,6.52
4uzd,9.22
3vqu,7.43
1vjd,3.54
5tq4,8.38
5dcz,9.3
1ta2,8.52
4pns,4.52
2kce,6.17
4j5e,4.94
3wyy,8.49
2xuz,7.4
1u2r,5.41
5d7a,7.68
6e3m,8.64
4nka,6.51
2p93,8.82
5wfc,4.9
4mep,5.33
5myo,10.53
5jin,5.64
4ks5,6.89
3fzs,5.82
6gf3,4.84
3zy2,6.46
3oay,1.7
3.00E+16,5.24
4prg,7.15
6hmx,8.89
6ccq,6.6
6bnl,6.96
6jn3,5.16
6b16,7.49
2xxw,6.41
5u2e,6.56
3vqh,5.92
5vm6,7.11
4mcv,8.89
5hja,5.96
6htt,6.66
4ylu,4.0
3ads,5.01
6q30,5.52
4mwv,9.4
5yc8,8.19
3pi5,6.02
5k5n,8.05
3l2y,4.49
5eok,3.49
1mm6,7.7
3bhb,8.47
5ktw,7.52
4pku,4.52
6gg5,3.65
6s9w,7.23
2xml,3.3
4r7m,7.96
6fgc,5.48
5nwh,7.54
5v3h,8.3
1gj4,4.07
5ap0,8.26
5ief,5.28
2qp8,8.1
6mt0,10.3
2y4l,6.3
4d0w,7.7
1bl6,6.8
4old,2.7
4mib,9.7
5vew,5.15
5lm6,5.11
4j74,4.59
5lyy,4.85
6bmi,5.05
5x13,5.21
5t4f,8.0
3iaf,2.92
5k0t,5.78
3ubx,7.6
2izx,9.4
3qch,5.48
5cy3,7.8
1iem,7.7
3rqg,4.64
3i6z,7.3
1t37,4.35
2yig,7.1
6anl,8.27
2xn6,8.8
1ftl,6.0
4u4s,2.92
1rsd,6.52
6jt3,8.3
5hx8,10.0
3ary,6.0
3a73,3.38
4a6w,5.72
1zuc,8.77
4bw4,6.2
6b5r,8.77
2ccu,6.13
2q2c,6.38
4oq3,8.1
5zfi,5.92
6qeg,7.3
6h7u,1.98
4p1u,8.52
4l7r,5.02
6exm,5.52
3s3m,7.4
6h4y,7.11
2iv9,4.34
1ad8,6.6
6nwc,7.74
6afi,6.2
6c7r,9.0
6euv,8.62
6o9d,8.7
3fyk,7.4
5em8,5.96
6dko,5.8
4ht6,6.21
3atm,3.06
5kqf,6.51
5m6f,6.66
4dt6,7.23
2r3m,8.0
5g1c,6.85
1h9z,5.42
2y6s,6.99
5ddd,6.59
6izq,5.5
6imi,4.58
5l15,9.57
1ljt,5.15
5w13,7.66
2qmf,8.52
1v2p,4.73
4yff,8.0
5a6i,7.25
5jur,8.52
2l3r,4.66
4fc0,7.16
6df2,7.24
2qcd,3.4
6aqo,6.11
3n4l,7.23
4uv8,6.47
1lzo,4.54
4bo5,7.1
2zof,8.15
2uw7,7.74
6iiw,5.66
2vcw,3.05
3ej1,6.92
4daw,7.08
1bbz,5.82
1wxz,8.07
2g78,6.92
4g2r,4.45
3art,4.43
2wi2,3.46
5t70,3.99
4yef,5.35
3meu,6.3
2i3z,8.7
6j5l,8.8
4i9s,6.79
3kpu,3.16
4aze,8.11
4lp0,8.0
6o21,8.46
1o4b,5.7
4nud,7.07
6qtm,5.25
2wsx,2.41
4nus,8.3
3sap,7.59
5cqj,4.81
4z2l,5.85
5eb2,1.11
1y0x,8.7
5tvn,9.04
4ga3,7.52
3qin,6.87
4umu,6.19
4c4g,8.22
3ms7,3.43
3h0w,6.22
5agj,6.15
6n7c,9.17
2az5,5.27
5j8x,8.8
4l2x,7.41
6h4s,7.42
4agd,8.41
5a5o,3.0
1uti,5.62
5wkl,6.15
2ww2,4.85
4bg6,7.16
6oa1,4.59
4man,11.0
4ya8,6.1
5nud,7.49
2r3n,7.15
2ydi,6.82
2ccs,5.7
1xlz,6.02
3d2r,5.48
4zwy,8.7
3aza,5.13
4zyr,5.7
5nu3,6.64
3kck,9.1
6ey7,4.3
2ohv,6.46
3tdz,6.82
2wi3,3.46
5khd,5.6
5wa4,5.89
4urv,2.77
4mr4,5.94
2ze1,6.22
1mzc,10.22
3lqi,5.16
2anl,6.96
3au6,7.92
3ipy,6.29
1ggn,5.51
3g2w,5.66
5xyf,5.98
3tkh,7.33
6d4t,6.92
4fck,1.26
5v3x,6.59
2w3o,6.72
1ujk,6.57
3c0z,3.95
4e3n,10.3
4gw1,6.37
5x5g,5.83
4dhf,7.55
4uff,7.96
4ehm,5.85
4dfw,7.85
1i5h,4.28
5o48,4.7
2ooh,5.89
1n9a,8.66
3gzn,8.0
3h98,8.3
6gvx,7.62
4yqu,6.66
4j5d,5.96
1bzs,8.0
3c72,4.64
4aj1,3.11
5nhz,5.33
5ukk,6.21
3bm6,7.59
4qwi,5.36
3zvv,3.04
1wva,6.57
5hoa,7.19
3py0,6.89
1h00,4.42
2rgu,9.0
5zqu,5.15
2j3q,6.15
4iqt,6.11
5n9l,7.82
4hbw,5.32
1z6d,2.34
3h0j,6.49
5hdv,7.82
2q70,8.08
6seo,4.74
5juz,5.52
3kmm,9.7
4ejf,5.1
3c7p,10.0
2ym3,6.0
6evp,4.53
4n70,12.0
5dkr,5.22
3wyl,8.85
4xgz,7.62
4ztm,7.6
1h8y,7.7
4kn4,7.24
2wqp,5.51
6e5x,6.12
4e3h,7.05
4kon,6.48
4zy4,7.66
6kqi,8.06
1swi,3.1
5bpe,5.95
1bo5,3.6
4wf2,8.1
5db2,7.6
2wgi,4.07
3l5e,7.57
3q32,8.74
6j7l,4.5
5lqf,6.6
1pu8,3.1
4h2o,5.52
3fc2,9.06
1uxb,2.15
1ru2,6.49
1lev,5.6
2exg,4.3
3vdc,4.92
4x3s,5.89
3g5d,7.96
1waw,7.89
3mw1,9.09
4fn5,6.76
3l6h,5.4
4tkg,6.85
4c6v,4.59
5vp1,9.29
3mqf,5.24
2ov4,4.74
6g9d,8.37
5jog,8.24
4o42,4.66
6bqh,9.8
1h37,7.23
5lcj,6.64
6s07,7.4
3kr0,4.7
4p1r,8.39
1fq6,7.86
1way,3.4
1umw,6.55
1ugw,3.09
1gsz,7.21
6ibz,7.66
4m3b,6.4
6quw,2.82
4tzq,6.52
5lgu,7.66
1wax,4.07
4wef,2.59
2xiz,3.89
1tet,6.08
2xv1,5.99
4u01,8.46
1x0n,7.7
4rt0,5.5
5wdj,6.96
4nzm,6.85
4u0s,6.8
3d7b,3.69
3qsd,7.19
1tbz,9.8
3chg,3.99
3avg,3.3
5dyt,7.6
1bap,6.85
4mro,7.06
1uj6,3.05
6pf3,4.55
5mri,4.4
5lhu,4.66
5a2j,5.85
2rjr,1.94
1n43,10.55
4gwi,3.69
5q0v,7.69
4o3a,2.59
3djf,6.1
2cng,6.96
1ld7,8.96
2in6,7.64
3wti,5.9
3axk,4.15
5mgg,3.3
2lwi,3.11
